time_diff_seconds,-0.008463995451265114,,,,,,,,,,1.0,-0.008932335008858936,-0.008928719085988268,-0.008931833734198884,-0.008907615929462567,-0.008839579388500824,0.0011357461145588576,-0.008918084126978526,-0.008494971894262366,-0.00893179394492139,-0.008884092153800035,-0.0023114817115096943,-0.008903385730045052,-0.008513946947004886,-0.008927560774476637,-0.008897750439001163,-0.004659341352687213,-0.008894559486398204,-0.008518845480559107,-0.008918342588872592,-0.008776709000881863,-0.008844879727714392,-0.00888099946858425,0.01225337831880272,7.710130727238677e-05,1.1823384957075787e-05,0.0006694139229638592
rolling_min_10,0.9987931612974413,,,,,,,,,,-0.008903385730045052,0.9988693578444531,0.999000820552509,0.9991112321645481,0.9990955253186641,0.999278411303692,0.6195461396730215,0.9996771648804359,0.9982951552161535,0.9991880208436149,0.9995134062676617,0.7033352366206703,1.0,0.9983117786975328,0.9994322808734459,0.9995033615391193,0.777141315513218,0.9994546824712922,0.9983086080927649,0.9995268407201373,0.9992876184202476,0.99946117966135,0.9994966923873265,-0.0022056047042276843,-0.0001919657921252526,-0.002311194302794543,0.037886684520160405
rolling_max_10,0.9993415721519554,,,,,,,,,,-0.008513946947004886,0.9993272576994481,0.9992317174511426,0.9991110769292191,0.9986671752400456,0.999617293449392,0.658909115196475,0.9986598528095874,0.9999159446247863,0.9995368813209244,0.999571202829571,0.7428397052005342,0.9983117786975328,1.0,0.99949570944463,0.9993323558840614,0.8058965172700616,0.9976883687976023,0.9998479149154439,0.9992402502793774,0.9996301114885725,0.999607522459376,0.9994562792872107,0.00017547644896377838,-0.00019186763855590918,7.266568530719822e-06,0.03805716689968542
rolling_median_10,0.9994127603001923,,,,,,,,,,-0.008927560774476637,0.9994844258129013,0.9995896890049598,0.9996254028183555,0.9991813740012597,0.9998768179585161,0.6379388460210106,0.999613903876259,0.999458062734773,0.9998337296171413,0.9999669671022681,0.7240688502621193,0.9994322808734459,0.99949570944463,1.0,0.9997877857445825,0.7930195526461384,0.998845731716193,0.9994303389992454,0.9997507320143857,0.9998608679938568,0.9999393562821123,0.9998600161455972,-0.0020804712993887664,-0.00019203407570962693,-0.0021776522386633096,0.037986188746558285
rolling_mean_20,0.9991676091993537,,,,,,,,,,-0.008897750439001163,0.9992380769643178,0.9993524946474162,0.9994386634675259,0.9994921231647177,0.9996371012359243,0.6381285525700765,0.9993784309199089,0.999243707891269,0.9995684897511757,0.9998411018667112,0.721011256454518,0.9995033615391193,0.9993323558840614,0.9997877857445825,1.0,0.7875863804641563,0.9993308971486419,0.9994365707015235,0.9999590971751906,0.9996490363939842,0.9998439624984443,0.9999688193789754,-0.002049183051723566,-0.00019207642181157743,-0.0021514780071219416,0.03650966209688888
rolling_std_20,0.7958922411505875,,,,,,,,,,-0.004659341352687213,0.7955185528751264,0.7942129861503927,0.7923206391006468,0.7865113034348624,0.7950434938214397,0.8138463490852241,0.7841894262558469,0.8046374460348839,0.795162161146397,0.7927563063810721,0.9159938784773841,0.777141315513218,0.8058965172700616,0.7930195526461384,0.7875863804641563,1.0,0.7662073819831906,0.806254135037748,0.7875684545206345,0.7948541632955214,0.7927121940445091,0.7893065009559748,0.009776482633713586,-0.00015135755180359784,0.009308658557215669,0.03492574945968745
rolling_min_20,0.9981517045912205,,,,,,,,,,-0.008894559486398204,0.9982330816538159,0.9983805096970928,0.9985196989478965,0.9987821003050574,0.9986516452051837,0.6195690790135997,0.9990321577333884,0.9976799550088752,0.9985639060817179,0.9989272209394444,0.7019715065927848,0.9994546824712922,0.9976883687976023,0.998845731716193,0.9993308971486419,0.7662073819831906,1.0,0.9977658611648822,0.9992319995206924,0.998672304673414,0.9989524732554206,0.9992433996565627,-0.0023440675279557295,-0.0001919494815592042,-0.002451334600011095,0.03627488256712272
rolling_max_20,0.9991285046723344,,,,,,,,,,-0.008518845480559107,0.999135753854331,0.9991043957579663,0.9990546740147078,0.9988373251277585,0.9994602766610389,0.6569529289026722,0.9985608492342688,0.9996968693676158,0.9993836131691516,0.9995005856694251,0.740927908009246,0.9983086080927649,0.9998479149154439,0.9994303389992454,0.9994365707015235,0.806254135037748,0.9977658611648822,1.0,0.9993434511169395,0.9994765442692186,0.9995354703519015,0.999500280355309,-0.00038626048396154524,-0.00019193552651362736,-0.0005521688890682079,0.03671238444882225
rolling_median_20,0.9990722276133971,,,,,,,,,,-0.008918342588872592,0.9991443651140626,0.9992750788300463,0.9993946586076942,0.9995399117490306,0.99955347662932,0.6377004432635337,0.9993027246621667,0.9991448608976454,0.9994933209513028,0.9998003423430606,0.7194515759558485,0.9995268407201373,0.9992402502793774,0.9997507320143857,0.9999590971751906,0.7875684545206345,0.9992319995206924,0.9993434511169395,1.0,0.9995697990717957,0.9997839626857844,0.9999143033758653,-0.002092844317317445,-0.00019205991270034465,-0.0021912260206187134,0.03650785768854332
ema_5,0.9997602463985871,,,,,,,,,,-0.008776709000881863,0.9997084682961364,0.9995788360658909,0.9994409774478081,0.9989874853502884,0.9999787876015689,0.6418407249506471,0.999588330657341,0.9996724204992974,0.9999272197060617,0.9999061869643755,0.7278281825562157,0.9992876184202476,0.9996301114885725,0.9998608679938568,0.9996490363939842,0.7948541632955214,0.998672304673414,0.9994765442692186,0.9995697990717957,1.0,0.9999548734952705,0.999779859581935,0.0011494036055130804,-0.00019187528272724143,0.00102644973774896,0.03895738131256963
ema_10,0.9995950080317564,,,,,,,,,,-0.008844879727714392,0.9996177502055223,0.999605791272922,0.9995553272486005,0.9992483408172678,0.9999470258970604,0.6401299095400326,0.9996186135815964,0.9995968669051362,0.9998892273517144,0.9999812294375143,0.7252842056731905,0.99946117966135,0.999607522459376,0.9999393562821123,0.9998439624984443,0.7927121940445091,0.9989524732554206,0.9995354703519015,0.9997839626857844,0.9999548734952705,1.0,0.9999228254402603,-0.0008004339917775654,-0.00019199817769493437,-0.0009121989217390797,0.03808183924283075
ema_20,0.9993427249645511,,,,,,,,,,-0.00888099946858425,0.999396877253976,0.9994647199271177,0.9994981790375217,0.9994138472565234,0.9997700261243527,0.6389835299804647,0.9994819769993865,0.9993961986310342,0.9997053076031018,0.9999089718411049,0.7227560355044115,0.9994966923873265,0.9994562792872107,0.9998600161455972,0.9999688193789754,0.7893065009559748,0.9992433996565627,0.999500280355309,0.9999143033758653,0.999779859581935,0.9999228254402603,1.0,-0.0016223213652366724,-0.0001920833146173328,-0.0017283565187780395,0.03659561907365066
diff_prev,0.01911592240369564,,,,,,,,,,0.01225337831880272,-0.019103869754382854,0.005615796814867535,-0.0031808495072508684,-0.000911250130464579,-0.0009085563516256116,0.04730406221274324,-0.002095851181594748,0.00098652527044966,-0.0009386152710148598,-0.0017563886717105158,0.02152581878558179,-0.0022056047042276843,0.00017547644896377838,-0.0020804712993887664,-0.002049183051723566,0.009776482633713586,-0.0023440675279557295,-0.00038626048396154524,-0.002092844317317445,0.0011494036055130804,-0.0008004339917775654,-0.0016223213652366724,1.0,4.967006992810877e-05,0.9987689087854933,0.04213014954373619
pct_change,-0.00019091311641578139,,,,,,,,,,7.710130727238677e-05,-0.00019281228594051315,-0.00019158696074183696,-0.00019201948322781774,-0.00019190657263856486,-0.0001919724660298823,-0.00012026457390057402,-0.0001919790906257384,-0.00019180621009499458,-0.0001919599855832647,-0.00019203169487988029,-0.00013800182921518735,-0.0001919657921252526,-0.00019186763855590918,-0.00019203407570962693,-0.00019207642181157743,-0.00015135755180359784,-0.0001919494815592042,-0.00019193552651362736,-0.00019205991270034465,-0.00019187528272724143,-0.00019199817769493437,-0.0001920833146173328,4.967006992810877e-05,1.0,4.959281326085391e-05,-0.0006857543667417536
first_derivative,0.0189532547821903,,,,,,,,,,1.1823384957075787e-05,-0.019219486735768395,0.0055316458619161565,-0.003278697680171283,-0.0010073847746751394,-0.0010217024625003678,0.04620169005961048,-0.0022020661768785447,0.0008168763833818753,-0.0010338849436708347,-0.0018613597750531375,0.020778579229945936,-0.002311194302794543,7.266568530719822e-06,-0.0021776522386633096,-0.0021514780071219416,0.009308658557215669,-0.002451334600011095,-0.0005521688890682079,-0.0021912260206187134,0.00102644973774896,-0.0009121989217390797,-0.0017283565187780395,0.9987689087854933,4.959281326085391e-05,1.0,0.04203448287565262
z_score,0.040391154299187264,,,,,,,,,,0.0006694139229638592,0.038781997008640906,0.03849831997974247,0.03774233748618346,0.03638722705057651,0.03879842162143816,0.026926967708665452,0.03868971960273005,0.038778653246427874,0.03882933020473287,0.037989851455317226,0.03119428190226735,0.037886684520160405,0.03805716689968542,0.037986188746558285,0.03650966209688888,0.03492574945968745,0.03627488256712272,0.03671238444882225,0.03650785768854332,0.03895738131256963,0.03808183924283075,0.03659561907365066,0.04213014954373619,-0.0006857543667417536,0.04203448287565262,1.0
